iter	MultiClass
0	1.800160884
1	1.695260972
2	1.618373248
3	1.546917295
4	1.479334662
5	1.429230592
6	1.378807477
7	1.329684368
8	1.305881782
9	1.268936443
10	1.236352704
11	1.207243793
12	1.180193652
13	1.155377188
14	1.13432437
15	1.117299023
16	1.097128005
17	1.080668238
18	1.066790542
19	1.054491342
20	1.040110694
21	1.026103404
22	1.016632632
23	1.005688147
24	0.994515411
25	0.9828483316
26	0.9732833984
27	0.963751722
28	0.9544475205
29	0.9430827067
30	0.9336039504
31	0.9280534855
32	0.9216007983
33	0.9144489666
34	0.9090183408
35	0.9020165578
36	0.8960186675
37	0.8889152137
38	0.8829757539
39	0.8761284929
40	0.8711449639
41	0.8658440725
42	0.8617768424
43	0.8564300734
44	0.8514284744
45	0.8472700221
46	0.8427279215
47	0.8390624609
48	0.8342859365
49	0.8303463294
50	0.8269869884
51	0.8226173563
52	0.8187423919
53	0.8147680061
54	0.812282943
55	0.8103407843
56	0.8063780285
57	0.8027927748
58	0.7978324254
59	0.7947702101
60	0.7931146685
61	0.7900108246
62	0.7858411427
63	0.7805306864
64	0.7772558798
65	0.7755515348
66	0.773202481
67	0.7703541238
68	0.7671987568
69	0.7657453272
70	0.7645905043
71	0.7601095046
72	0.755576379
73	0.7520711823
74	0.7506180275
75	0.7481379673
76	0.7454717893
77	0.7425267367
78	0.7396243118
79	0.7378647437
80	0.7354681008
81	0.7323777616
82	0.7303387764
83	0.7295255292
84	0.7251895249
85	0.7224783498
86	0.7202342282
87	0.7181709396
88	0.7159983551
89	0.7134220907
90	0.7103936651
91	0.7079721274
92	0.7062640291
93	0.7041240522
94	0.7018828486
95	0.6999872125
96	0.6995152834
97	0.6978572606
98	0.6965675601
99	0.694503471
100	0.6929050192
101	0.6915088443
102	0.6907591317
103	0.6901343879
104	0.6888155433
105	0.6865759531
106	0.6846178462
107	0.6822715905
108	0.6807261012
109	0.6793598222
110	0.6764091189
111	0.6749903082
112	0.6732009423
113	0.6720405356
114	0.6708331405
115	0.6692452693
116	0.6672822706
117	0.6654623038
118	0.6634217925
119	0.6615348407
120	0.6600557799
121	0.658611558
122	0.6573675045
123	0.6557955849
124	0.6549044481
125	0.6538880169
126	0.6514974884
127	0.6502562098
128	0.648928649
129	0.6470117438
130	0.6438176404
131	0.6427690172
132	0.6416218093
133	0.640238907
134	0.6389595051
135	0.638184776
136	0.6373101576
137	0.635064908
138	0.6345053454
139	0.6331501698
140	0.6316665222
141	0.6305698128
142	0.6302368096
143	0.6295001346
144	0.6287626609
145	0.6275149007
146	0.6253642739
147	0.6244641564
148	0.6240392417
149	0.62245901
150	0.6213465035
151	0.6189525552
152	0.6175625549
153	0.6169709206
154	0.615080137
155	0.6144739139
156	0.6132920259
157	0.6125913433
158	0.6119548385
159	0.6103430618
160	0.6090944063
161	0.6082341639
162	0.6074042623
163	0.6067760193
164	0.605155445
