iter	Passed	Remaining
0	154	153909
1	167	83526
2	181	60343
3	194	48490
4	208	41473
5	222	36782
6	234	33324
7	247	30706
8	259	28608
9	273	27061
10	287	25817
11	300	24710
12	313	23835
13	326	23025
14	340	22345
15	352	21705
16	364	21103
17	378	20664
18	392	20279
19	406	19902
20	419	19546
21	432	19206
22	444	18874
23	458	18642
24	472	18430
25	484	18164
26	497	17931
27	509	17687
28	521	17476
29	535	17323
30	549	17176
31	561	16973
32	574	16844
33	587	16693
34	600	16556
35	613	16429
36	625	16290
37	639	16197
38	653	16100
39	667	16018
40	681	15936
41	694	15831
42	707	15743
43	721	15667
44	735	15609
45	748	15513
46	759	15403
47	771	15296
48	783	15215
49	797	15154
50	810	15086
51	823	15011
52	837	14973
53	851	14917
54	864	14849
55	876	14776
56	887	14689
57	900	14632
58	913	14574
59	928	14541
60	940	14473
61	953	14432
62	967	14391
63	981	14353
64	995	14317
65	1007	14262
66	1020	14205
67	1033	14162
68	1046	14126
69	1059	14081
70	1072	14032
71	1087	14011
72	1106	14048
73	1126	14096
74	1141	14081
75	1156	14061
76	1169	14015
77	1182	13980
78	1195	13933
79	1207	13889
80	1221	13853
81	1234	13819
82	1246	13775
83	1260	13740
84	1273	13710
85	1286	13672
86	1298	13624
87	1325	13741
88	1338	13696
89	1350	13655
90	1363	13618
91	1376	13581
92	1388	13546
93	1402	13516
94	1415	13483
95	1428	13455
96	1441	13422
97	1454	13385
98	1465	13337
99	1477	13300
100	1490	13267
101	1503	13233
102	1514	13185
103	1525	13144
104	1537	13104
105	1549	13066
106	1562	13040
107	1574	13007
108	1588	12980
109	1600	12949
110	1613	12919
111	1626	12894
112	1639	12870
113	1651	12836
114	1663	12805
115	1675	12771
116	1688	12742
117	1700	12710
118	1713	12685
119	1727	12665
120	1738	12628
121	1750	12600
122	1762	12565
123	1775	12539
124	1786	12508
125	1799	12480
126	1811	12454
127	1824	12430
128	1837	12404
129	1849	12378
130	1865	12372
131	1877	12343
132	1889	12319
133	1902	12297
134	1915	12273
135	1926	12236
136	1938	12209
137	1951	12188
138	1964	12165
139	1975	12133
140	1986	12105
141	1999	12081
142	2011	12053
143	2022	12020
144	2033	11992
145	2046	11969
146	2059	11947
147	2072	11931
148	2084	11907
149	2097	11887
150	2109	11861
151	2123	11845
152	2137	11830
153	2149	11807
154	2162	11788
155	2174	11763
156	2187	11744
157	2199	11723
158	2211	11697
159	2224	11678
160	2237	11659
161	2250	11640
162	2262	11616
163	2274	11593
164	2288	11580
165	2302	11566
166	2314	11545
167	2326	11520
168	2337	11494
169	2349	11472
170	2361	11446
171	2372	11422
172	2384	11397
173	2395	11372
174	2408	11355
175	2420	11334
176	2432	11312
177	2444	11287
178	2457	11271
179	2468	11245
180	2482	11232
181	2496	11221
182	2509	11204
183	2523	11190
184	2535	11170
185	2548	11154
186	2561	11136
187	2573	11113
188	2587	11102
189	2599	11081
190	2610	11057
191	2623	11040
192	2635	11020
193	2647	11001
194	2659	10978
195	2672	10962
196	2683	10937
197	2696	10920
198	2708	10903
199	2721	10884
200	2734	10870
201	2746	10848
202	2758	10830
203	2771	10814
204	2782	10789
205	2794	10772
206	2807	10755
207	2821	10743
208	2833	10722
209	2844	10701
210	2856	10683
211	2869	10666
212	2882	10651
213	2895	10633
214	2907	10616
215	2920	10599
216	2932	10579
217	2943	10558
218	2955	10541
219	2967	10519
220	2979	10503
221	2993	10490
222	3007	10479
223	3021	10467
224	3033	10447
225	3044	10427
226	3058	10414
227	3069	10393
228	3082	10379
229	3094	10359
230	3107	10345
231	3120	10329
232	3133	10315
233	3148	10305
234	3159	10285
235	3171	10267
236	3183	10249
237	3197	10237
238	3209	10219
239	3221	10200
240	3234	10186
241	3247	10171
242	3259	10154
243	3273	10141
244	3285	10125
245	3299	10112
246	3310	10092
247	3323	10078
248	3335	10061
249	3348	10045
250	3362	10034
251	3374	10015
252	3387	10001
253	3400	9987
254	3413	9973
255	3426	9959
256	3439	9944
257	3451	9926
258	3462	9907
259	3475	9890
260	3488	9875
261	3500	9859
262	3513	9846
263	3525	9828
264	3537	9811
265	3551	9798
266	3563	9783
267	3576	9767
268	3587	9748
269	3600	9735
270	3612	9718
271	3626	9705
272	3638	9688
273	3651	9674
274	3662	9655
275	3673	9635
276	3686	9622
277	3699	9607
278	3711	9592
279	3724	9576
280	3736	9559
281	3749	9547
282	3762	9533
283	3776	9520
284	3788	9504
285	3799	9486
286	3812	9471
287	3826	9459
288	3837	9441
289	3850	9426
290	3863	9413
291	3875	9396
292	3888	9382
293	3899	9364
294	3911	9347
295	3929	9346
296	3951	9352
297	3967	9345
298	3980	9331
299	3992	9315
300	4004	9299
301	4016	9283
302	4028	9266
303	4041	9252
304	4053	9237
305	4065	9220
306	4077	9204
307	4088	9186
308	4101	9171
309	4114	9157
310	4126	9141
311	4138	9125
312	4151	9112
313	4163	9096
314	4177	9084
315	4189	9069
316	4203	9056
317	4214	9038
318	4226	9022
319	4237	9005
320	4252	8994
